seller_id,order_quarter,total_orders,cumulative_orders,next_quarter,churn,monetary,cumulative_monetary,recency_days,active_months_count,active_days_count,tenure_months,seller_city,seller_state,median_review_score,total_orders_late_to_carrier,total_orders_late_to_customer,median_approval_time_hours,top_main_category
0015a82c2db000af6aaaf3ae2ecb0532,2017Q3,1,1,2017Q4,0,895.0,895.0,4,1,1,0.1,santo andre,SP,5.0,0,0,24.12,small_appliances
0015a82c2db000af6aaaf3ae2ecb0532,2017Q4,2,3,,1,1790.0,2685.0,74,1,2,3.2,santo andre,SP,3.0,0,0,7.96,small_appliances
001cca7ae9ae17fb1caed9dfb1094831,2017Q1,16,16,2017Q2,0,2845.5,2845.5,0,2,13,1.8,cariacica,ES,4.0,1,1,0.23,garden
001cca7ae9ae17fb1caed9dfb1094831,2017Q2,56,72,2017Q3,0,6462.68,9308.18,0,3,43,4.9,cariacica,ES,5.0,0,2,0.27,garden
001cca7ae9ae17fb1caed9dfb1094831,2017Q3,43,115,2017Q4,0,5329.95,14638.130000000001,1,3,31,7.9,cariacica,ES,5.0,0,1,0.35,garden
001cca7ae9ae17fb1caed9dfb1094831,2017Q4,53,168,2018Q1,0,6496.0,21134.13,4,3,36,11.0,cariacica,ES,4.0,5,5,0.3,garden
001cca7ae9ae17fb1caed9dfb1094831,2018Q1,17,185,2018Q2,0,2301.9,23436.03,1,3,16,14.0,cariacica,ES,4.5,4,2,0.39,garden
001cca7ae9ae17fb1caed9dfb1094831,2018Q2,6,191,2018Q3,0,780.0,24216.03,10,2,6,17.0,cariacica,ES,4.0,2,1,0.57,garden
001cca7ae9ae17fb1caed9dfb1094831,2018Q3,1,192,,1,129.9,24345.93,80,1,1,20.1,cariacica,ES,5.0,0,0,0.2,tools
002100f778ceb8431b7a1020ff7ab48f,2017Q3,3,3,2017Q4,0,47.6,47.6,0,1,3,0.5,franca,SP,4.5,0,0,11.34,home
002100f778ceb8431b7a1020ff7ab48f,2017Q4,35,38,2018Q1,0,782.9,830.5,3,3,27,3.6,franca,SP,5.0,5,6,0.96,home
002100f778ceb8431b7a1020ff7ab48f,2018Q1,10,48,2018Q2,0,344.9,1175.4,4,3,10,6.6,franca,SP,5.0,0,3,0.24,home
002100f778ceb8431b7a1020ff7ab48f,2018Q2,2,50,,1,109.80000000000001,1285.2,79,1,2,9.6,franca,SP,3.0,0,0,0.22,home
004c9cd9d87a3c30c522c48c4fc07416,2017Q1,24,24,2017Q2,0,4022.18,4022.18,11,3,17,2.1,ibitinga,SP,5.0,0,1,0.19,home
004c9cd9d87a3c30c522c48c4fc07416,2017Q2,23,47,2017Q3,0,3494.76,7516.9400000000005,2,3,19,5.1,ibitinga,SP,5.0,0,2,0.24,home
004c9cd9d87a3c30c522c48c4fc07416,2017Q3,43,90,2017Q4,0,5162.75,12679.69,8,3,35,8.2,ibitinga,SP,5.0,0,3,0.32,home
004c9cd9d87a3c30c522c48c4fc07416,2017Q4,32,122,2018Q1,0,3809.58,16489.27,8,3,25,11.3,ibitinga,SP,5.0,0,3,0.27,home
004c9cd9d87a3c30c522c48c4fc07416,2018Q1,17,139,2018Q2,0,1736.31,18225.58,5,3,15,14.3,ibitinga,SP,5.0,0,4,0.73,home
004c9cd9d87a3c30c522c48c4fc07416,2018Q2,4,143,,1,668.48,18894.06,60,2,4,17.3,ibitinga,SP,5.0,0,0,0.24,home
00720abe85ba0859807595bbf045a33b,2018Q1,4,4,2018Q2,0,288.0,288.0,9,3,4,2.1,guarulhos,SP,5.0,1,1,0.43,home
00720abe85ba0859807595bbf045a33b,2018Q2,7,11,2018Q3,0,509.5,797.5,26,3,7,5.1,guarulhos,SP,4.0,0,0,0.42,home
00720abe85ba0859807595bbf045a33b,2018Q3,2,13,,1,210.0,1007.5,58,2,2,8.2,guarulhos,SP,3.0,2,0,2.03,home
00ab3eff1b5192e5f1a63bcecfee11c8,2017Q1,1,1,,1,98.0,98.0,13,1,1,0.4,sao paulo,SP,5.0,0,0,0.0,beauty_health
00d8b143d12632bad99c0ad66ad52825,2018Q1,1,1,,1,86.0,86.0,10,1,1,0.3,belo horizonte,MG,5.0,0,0,0.21,fashion
00ee68308b45bc5e2660cd833c3f81cc,2017Q3,2,2,2017Q4,0,240.0,240.0,6,1,2,0.4,sao paulo,SP,5.0,0,0,0.21,home
